Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-25 14:30:00+00:00,254.00010681152344,254.1387939453125,253.02999877929688,253.50010681152344,3154957,246.2346954345703,247.05990600585938,245.47000122070312,246.2449951171875,1460563,1215.3099365234375,1216.5999755859375,1210.68994140625,1211.4300537109375,205793,219.77000427246094,220.44000244140625,219.0500946044922,219.8300018310547,3829737,747.1300048828125,753.0999145507812,746.9199829101562,752.3099975585938,885503
2025-09-25 15:30:00+00:00,253.50010681152344,253.91000366210938,252.3000030517578,252.53030395507812,2473004,246.25999450683594,247.31500244140625,246.17999267578125,246.27999877929688,734042,1212.0,1214.2156982421875,1207.0899658203125,1207.8349609375,107564,219.80999755859375,220.6699981689453,219.71600341796875,219.80999755859375,2886292,752.4099731445312,756.7650146484375,752.1599731445312,754.1300048828125,529847
2025-09-25 16:30:00+00:00,252.5399932861328,253.8800048828125,252.5,253.5,2502302,246.30999755859375,246.84500122070312,245.72999572753906,245.86000061035156,587183,1208.2899169921875,1210.10498046875,1204.0101318359375,1205.02001953125,90170,219.82000732421875,219.88999938964844,218.5,218.8699951171875,2717778,754.2100219726562,755.02001953125,749.2999877929688,749.4600219726562,451927
2025-09-25 17:30:00+00:00,253.49000549316406,254.58999633789062,252.85000610351562,254.55999755859375,2634795,245.83999633789062,246.38999938964844,244.60000610351562,246.3000030517578,947336,1204.760009765625,1207.2099609375,1203.150146484375,1207.050048828125,83126,218.84979248046875,218.92999267578125,216.47000122070312,217.02999877929688,4433827,749.6300048828125,750.5280151367188,746.25,749.780029296875,553563
2025-09-25 18:30:00+00:00,254.5500030517578,257.1700134277344,254.22999572753906,256.9599914550781,7107739,246.33970642089844,247.19000244140625,246.08999633789062,246.1999969482422,805681,1207.280029296875,1209.949951171875,1205.5201416015625,1207.06005859375,110535,217.02000427246094,217.64999389648438,216.8800048828125,217.47000122070312,4009996,749.6099853515625,751.3800048828125,748.530029296875,749.489990234375,408754
2025-09-25 19:30:00+00:00,256.95001220703125,257.1099853515625,255.4199981689453,256.94000244140625,4610669,246.1999969482422,246.72000122070312,245.69000244140625,246.57000732421875,986449,1207.70751953125,1208.81005859375,1206.425048828125,1207.5999755859375,151909,217.47999572753906,218.42999267578125,217.19500732421875,218.1300048828125,3264141,749.5599975585938,749.9649047851562,748.72998046875,748.9099731445312,571151
2025-09-26 13:30:00+00:00,254.0,256.6000061035156,253.77999877929688,255.02000427246094,8034498,247.25,250.1199951171875,246.75999450683594,247.4600067138672,2689712,1202.0,1214.0,1200.0,1202.130126953125,285145,219.0,221.02999877929688,218.02000427246094,218.9149932861328,9133063,748.0,751.9298706054688,739.760009765625,741.1699829101562,1570861
2025-09-26 14:30:00+00:00,255.02000427246094,255.99000549316406,254.57119750976562,255.9700927734375,3714841,247.4499969482422,248.4499969482422,246.99000549316406,247.63999938964844,993238,1202.5,1209.0,1201.8299560546875,1208.14501953125,178509,218.89999389648438,219.5800018310547,218.5050048828125,219.44000244140625,3183259,741.1300048828125,743.97998046875,739.1099853515625,742.1749877929688,742166
2025-09-26 15:30:00+00:00,255.97000122070312,256.0400085449219,254.86000061035156,255.6649932861328,2276774,247.625,248.08999633789062,246.66000366210938,247.84010314941406,762977,1208.5400390625,1213.0,1205.0,1210.885009765625,94368,219.4499969482422,220.25999450683594,219.06700134277344,219.97500610351562,2297114,742.0700073242188,742.2899780273438,737.3532104492188,741.625,654563
2025-09-26 16:30:00+00:00,255.66000366210938,256.9750061035156,255.47999572753906,256.5199890136719,2086042,247.8699951171875,248.6300048828125,247.58999633789062,248.5749969482422,745209,1210.43994140625,1212.6986083984375,1207.9801025390625,1212.6986083984375,98487,219.97999572753906,220.47999572753906,219.6999969482422,220.39999389648438,1938063,741.75,745.7595825195312,740.0,745.0999755859375,476621
2025-09-26 17:30:00+00:00,256.5199890136719,257.3599853515625,255.86000061035156,256.55499267578125,2653513,248.55999755859375,248.66000366210938,247.02499389648438,247.5399932861328,872830,1212.2750244140625,1212.4000244140625,1207.3900146484375,1209.4600830078125,83178,220.39999389648438,220.5,219.9499969482422,220.19000244140625,2146123,745.0999755859375,745.280029296875,742.2899780273438,743.47998046875,369231
2025-09-26 18:30:00+00:00,256.56500244140625,256.7298889160156,255.49000549316406,255.64500427246094,2089315,247.57000732421875,247.88999938964844,247.19000244140625,247.6199951171875,586146,1210.3800048828125,1212.68994140625,1210.1500244140625,1211.1400146484375,126583,220.1999969482422,220.6199951171875,220.02999877929688,220.27000427246094,2102774,743.5599975585938,744.8300170898438,741.0,741.780029296875,422768
2025-09-26 19:30:00+00:00,255.63999938964844,255.64979553222656,254.89999389648438,255.4600067138672,3021515,247.6199951171875,247.6300048828125,246.63999938964844,247.19000244140625,946945,1210.9000244140625,1211.7900390625,1208.840087890625,1210.1700439453125,185431,220.25999450683594,220.25999450683594,219.55999755859375,219.8000030517578,2586975,741.780029296875,744.1599731445312,739.7000122070312,743.97998046875,752133
